epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,295.302,0.98634,0.53158,0.94968,0.90393,0.93077,0.93462,0.65004,1.11856,0.57441,1.1859,0.000742625,0.000742625,0.000742625
43,302.216,1.00365,0.53012,0.94853,0.87411,0.91262,0.92719,0.66123,1.0723,0.57973,1.15106,0.00073025,0.00073025,0.00073025
44,309.047,0.9986,0.53698,0.95022,0.86142,0.89128,0.92047,0.65438,1.06799,0.59182,1.14507,0.000717875,0.000717875,0.000717875
45,315.784,0.97532,0.5169,0.94352,0.89873,0.92829,0.91921,0.63901,1.08109,0.56852,1.13618,0.0007055,0.0007055,0.0007055
46,322.563,0.97121,0.519,0.94569,0.90566,0.93893,0.92989,0.64253,1.11347,0.56298,1.14998,0.000693125,0.000693125,0.000693125
47,329.435,0.98342,0.52241,0.93726,0.91828,0.92394,0.93345,0.65857,1.10341,0.51223,1.19582,0.00068075,0.00068075,0.00068075
48,336.58,0.98794,0.51744,0.93832,0.94285,0.93345,0.95323,0.67905,1.08263,0.57114,1.16189,0.000668375,0.000668375,0.000668375
49,343.572,0.98423,0.5196,0.93922,0.8758,0.88249,0.91063,0.62318,1.14937,0.59054,1.1756,0.000656,0.000656,0.000656
50,350.95,1.00968,0.52744,0.94498,0.87502,0.91261,0.9168,0.63629,1.09927,0.57335,1.15544,0.000643625,0.000643625,0.000643625
51,357.915,0.96501,0.50765,0.93347,0.9272,0.90019,0.92335,0.65142,1.07426,0.54085,1.16535,0.00063125,0.00063125,0.00063125
52,364.681,0.96536,0.5097,0.93521,0.92381,0.91628,0.93851,0.67364,1.05438,0.53372,1.13627,0.000618875,0.000618875,0.000618875
53,371.815,0.97743,0.50969,0.93495,0.89271,0.89531,0.92057,0.6613,1.05406,0.54321,1.13718,0.0006065,0.0006065,0.0006065
54,378.979,0.95948,0.50334,0.93206,0.93312,0.90366,0.92526,0.65625,1.08484,0.53044,1.1741,0.000594125,0.000594125,0.000594125
55,386.249,0.94305,0.48966,0.92806,0.90131,0.91084,0.91854,0.65459,1.0753,0.56402,1.1483,0.00058175,0.00058175,0.00058175
56,393.181,0.95942,0.49833,0.93283,0.90528,0.93086,0.94096,0.65969,1.10436,0.54568,1.18906,0.000569375,0.000569375,0.000569375
57,400.244,0.95528,0.49013,0.9376,0.93497,0.89439,0.93992,0.64955,1.11726,0.58807,1.15458,0.000557,0.000557,0.000557
58,407.327,0.92118,0.48424,0.92211,0.90858,0.90477,0.91827,0.65305,1.1103,0.54838,1.1689,0.000544625,0.000544625,0.000544625
59,414.792,0.9683,0.5002,0.93174,0.88124,0.90441,0.91927,0.66299,1.07163,0.53768,1.14461,0.00053225,0.00053225,0.00053225
60,421.944,0.9588,0.49087,0.93133,0.925,0.90419,0.92505,0.66745,1.06394,0.514,1.1515,0.000519875,0.000519875,0.000519875
61,428.966,0.92127,0.47701,0.9226,0.87559,0.91152,0.90436,0.65903,1.04597,0.54793,1.14033,0.0005075,0.0005075,0.0005075
62,435.702,0.93717,0.47788,0.92726,0.93539,0.89619,0.92576,0.65269,1.10003,0.5469,1.18124,0.000495125,0.000495125,0.000495125
